ENTITYA,TYPEA,IDA,DATABASEA,MECHANISM,ENTITYB,TYPEB,IDB,DATABASEB,IDB,data_column
PYGL,protein,P06737,UNIPROT,chemical_modification,glycogen,smallmolecule,CHEBI:28087,ChEBI,CHEBI:28087,1988-03-15
PYGB,protein,P11216,UNIPROT,chemical_modification,α-D-glucose,smallmolecule,CHEBI:17925,ChEBI,CHEBI:17925,1988-03-15
glycogen,smallmolecule,CHEBI:28087,ChEBI,precursor_of,alpha-D-glucose 1-phosphate(2-),smallmolecule,CHEBI:58601,ChEBI,CHEBI:58601,1988-03-15
PYGL,protein,P06737,UNIPROT,chemical_modification,alpha-D-glucose 1-phosphate(2-),smallmolecule,CHEBI:58601,ChEBI,CHEBI:58601,1988-03-15
PYGL,protein,P06737,UNIPROT,chemical_modification,glycogen,smallmolecule,CHEBI:28087,ChEBI,CHEBI:28087,1988-03-15
PYGB,protein,P11216,UNIPROT,chemical_modification,glycogen,smallmolecule,CHEBI:28087,ChEBI,CHEBI:28087,1988-03-15
glycogen,smallmolecule,CHEBI:28087,ChEBI,chemical_activation,PYGB,protein,P11216,UNIPROT,P11216,1988-03-15
glycogen,smallmolecule,CHEBI:28087,ChEBI,precursor_of,α-D-glucose,smallmolecule,CHEBI:17925,ChEBI,CHEBI:17925,1988-03-15
RPS6KA3,protein,P51812,UNIPROT,phosphorylation,PFKFB2,protein,O60825,UNIPROT,O60825,1988-11-15
RPS6KB1,protein,P23443,UNIPROT,phosphorylation,PFKFB2,protein,O60825,UNIPROT,O60825,1988-11-15
TNF,protein,P01375,UNIPROT,transcriptional_regulation,LPL,protein,P06858,UNIPROT,P06858,1988-11-01
CAMK2B,protein,Q13554,UNIPROT,phosphorylation,CAMK2B,protein,Q13554,UNIPROT,Q13554,1988-09-01
atropine,chemical,CHEBI:16684,ChEBI,chemical_inhibition,CHRM2,protein,P08172,UNIPROT,P08172,1989-04-01
pirenzepine,chemical,CHEBI:8247,ChEBI,chemical_inhibition,CHRM1,protein,P11229,UNIPROT,P11229,1989-04-01
atropine,chemical,CHEBI:16684,ChEBI,chemical_inhibition,CHRM4,protein,P08173,UNIPROT,P08173,1989-04-01
atropine,chemical,CHEBI:16684,ChEBI,chemical_inhibition,CHRM3,protein,P20309,UNIPROT,P20309,1989-04-01
Hexocyclium,chemical,CHEBI:5707,ChEBI,chemical_inhibition,CHRM3,protein,P20309,UNIPROT,P20309,1989-04-01
Hexocyclium,chemical,CHEBI:5707,ChEBI,chemical_inhibition,CHRM2,protein,P08172,UNIPROT,P08172,1989-04-01
pirenzepine,chemical,CHEBI:8247,ChEBI,chemical_inhibition,CHRM2,protein,P08172,UNIPROT,P08172,1989-04-01
Hexocyclium,chemical,CHEBI:5707,ChEBI,chemical_inhibition,CHRM5,protein,P08912,UNIPROT,P08912,1989-04-01
Hexocyclium,chemical,CHEBI:5707,ChEBI,chemical_inhibition,CHRM4,protein,P08173,UNIPROT,P08173,1989-04-01
pirenzepine,chemical,CHEBI:8247,ChEBI,chemical_inhibition,CHRM3,protein,P20309,UNIPROT,P20309,1989-04-01
atropine,chemical,CHEBI:16684,ChEBI,chemical_inhibition,CHRM5,protein,P08912,UNIPROT,P08912,1989-04-01
dicyclomine,chemical,CHEBI:4514,ChEBI,chemical_inhibition,CHRM2,protein,P08172,UNIPROT,P08172,1989-04-01
PRKACA,protein,P17612,UNIPROT,phosphorylation,VIM,protein,P08670,UNIPROT,P08670,1989-04-04
PRKCA,protein,P17252,UNIPROT,phosphorylation,VIM,protein,P08670,UNIPROT,P08670,1989-04-04
PRKACA,protein,P17612,UNIPROT,phosphorylation,VIM,protein,P08670,UNIPROT,P08670,1989-04-04
PRKCA,protein,P17252,UNIPROT,phosphorylation,VIM,protein,P08670,UNIPROT,P08670,1989-04-04
PRKCA,protein,P17252,UNIPROT,phosphorylation,VIM,protein,P08670,UNIPROT,P08670,1989-04-04
PRKCA,protein,P17252,UNIPROT,phosphorylation,VIM,protein,P08670,UNIPROT,P08670,1989-04-04
PRKACA,protein,P17612,UNIPROT,phosphorylation,VIM,protein,P08670,UNIPROT,P08670,1989-04-04
PRKCA,protein,P17252,UNIPROT,phosphorylation,VIM,protein,P08670,UNIPROT,P08670,1989-04-04
PRKCA,protein,P17252,UNIPROT,phosphorylation,VIM,protein,P08670,UNIPROT,P08670,1989-04-04
PRKACA,protein,P17612,UNIPROT,phosphorylation,VIM,protein,P08670,UNIPROT,P08670,1989-04-04
PRKACA,protein,P17612,UNIPROT,phosphorylation,VIM,protein,P08670,UNIPROT,P08670,1989-04-04
PRKCA,protein,P17252,UNIPROT,phosphorylation,VIM,protein,P08670,UNIPROT,P08670,1989-04-04
PRKCA,protein,P17252,UNIPROT,phosphorylation,VIM,protein,P08670,UNIPROT,P08670,1989-04-04
PRKCA,protein,P17252,UNIPROT,phosphorylation,VIM,protein,P08670,UNIPROT,P08670,1989-04-04
PRKACA,protein,P17612,UNIPROT,phosphorylation,VIM,protein,P08670,UNIPROT,P08670,1989-04-04
PRKCA,protein,P17252,UNIPROT,phosphorylation,VIM,protein,P08670,UNIPROT,P08670,1989-04-04
PRKCA,protein,P17252,UNIPROT,phosphorylation,VIM,protein,P08670,UNIPROT,P08670,1989-04-04
GRK5,protein,P34947,UNIPROT,phosphorylation,LRP6,protein,O75581,UNIPROT,O75581,1989-08-15
CSF2,protein,P04141,UNIPROT,transcriptional_regulation,HBG2,protein,P69892,UNIPROT,P69892,1989-12-01
FOS,protein,P01100,UNIPROT,binding,JUN,protein,P05412,UNIPROT,P05412,1989-12-01
CSNK2A2,protein,P19784,UNIPROT,phosphorylation,PPP1R1B,protein,Q9UD71,UNIPROT,Q9UD71,1989-12-25
CSNK2A1,protein,P68400,UNIPROT,phosphorylation,PPP1R1B,protein,Q9UD71,UNIPROT,Q9UD71,1989-12-25
CSNK2A1,protein,P68400,UNIPROT,phosphorylation,PPP1R1B,protein,Q9UD71,UNIPROT,Q9UD71,1989-12-25
CSNK2A2,protein,P19784,UNIPROT,phosphorylation,PPP1R1B,protein,Q9UD71,UNIPROT,Q9UD71,1989-12-25
PRKCA,protein,P17252,UNIPROT,phosphorylation,TNNI3,protein,P19429,UNIPROT,P19429,1989-12-05
CSNK2A1,protein,P68400,UNIPROT,phosphorylation,HSP90AA1,protein,P07900,UNIPROT,P07900,1989-02-15
CSNK2A1,protein,P68400,UNIPROT,phosphorylation,HSP90AA1,protein,P07900,UNIPROT,P07900,1989-02-15
5-phospho-α-D-ribose 1-diphosphate,smallmolecule,CHEBI:58017,ChEBI,precursor_of,orotidine 5'-phosphate(3-),smallmolecule,CHEBI:57538,ChEBI,CHEBI:57538,1989-01-01
UMPS,protein,P11172,UNIPROT,chemical_modification,5-phospho-α-D-ribose 1-diphosphate,smallmolecule,CHEBI:58017,ChEBI,CHEBI:58017,1989-01-01
UMPS,protein,P11172,UNIPROT,chemical_modification,orotidine 5'-phosphate(3-),smallmolecule,CHEBI:57538,ChEBI,CHEBI:57538,1989-01-01
UMPS,protein,P11172,UNIPROT,chemical_modification,orotate,smallmolecule,CHEBI:30839,ChEBI,CHEBI:30839,1989-01-01
UMPS,protein,P11172,UNIPROT,chemical_modification,UMP,smallmolecule,CHEBI:16695,ChEBI,CHEBI:16695,1989-01-01
orotate,smallmolecule,CHEBI:30839,ChEBI,precursor_of,orotidine 5'-phosphate(3-),smallmolecule,CHEBI:57538,ChEBI,CHEBI:57538,1989-01-01
orotidine 5'-phosphate(3-),smallmolecule,CHEBI:57538,ChEBI,precursor_of,UMP,smallmolecule,CHEBI:16695,ChEBI,CHEBI:16695,1989-01-01
BAMBI,protein,Q13145,UNIPROT,binding,FZD5,protein,Q13467,UNIPROT,Q13467,1989-07-01
BAMBI,protein,Q13145,UNIPROT,binding,DVL2,protein,O14641,UNIPROT,O14641,1989-07-01
porfimer,chemical,CHEBI:60652,ChEBI,chemical_inhibition,FCGR1A,protein,P12314,UNIPROT,P12314,1989-07-05
LCK,protein,P06239,UNIPROT,phosphorylation,CD3G,protein,P09693,UNIPROT,P09693,1989-05-01
LCK,protein,P06239,UNIPROT,phosphorylation,CD3E,protein,P07766,UNIPROT,P07766,1989-05-01
LCK,protein,P06239,UNIPROT,phosphorylation,CD3D,protein,P04234,UNIPROT,P04234,1989-05-01
LCK,protein,P06239,UNIPROT,phosphorylation,CD3G,protein,P09693,UNIPROT,P09693,1989-05-01
PRKACA,protein,P17612,UNIPROT,phosphorylation,ATP2B1,protein,P20020,UNIPROT,P20020,1989-05-16
IFNA2,protein,P01563,UNIPROT,transcriptional_regulation,HLA-B,protein,P01889,UNIPROT,P01889,1989-10-01
IFNG,protein,P01579,UNIPROT,transcriptional_regulation,HLA-B,protein,P01889,UNIPROT,P01889,1989-10-01
PRKDC,protein,P78527,UNIPROT,phosphorylation,HSP90AA1,protein,P07900,UNIPROT,P07900,1989-10-15
PRKDC,protein,P78527,UNIPROT,phosphorylation,HSP90AA1,protein,P07900,UNIPROT,P07900,1989-10-15
CSNK2A1,protein,P68400,UNIPROT,phosphorylation,HMGA1,protein,P17096,UNIPROT,P17096,1989-10-23
CSNK2A1,protein,P68400,UNIPROT,phosphorylation,HMGA1,protein,P17096,UNIPROT,P17096,1989-10-23
CSNK2A2,protein,P19784,UNIPROT,phosphorylation,HMGA1,protein,P17096,UNIPROT,P17096,1989-10-23
CSNK2A2,protein,P19784,UNIPROT,phosphorylation,HMGA1,protein,P17096,UNIPROT,P17096,1989-10-23
CSNK2A1,protein,P68400,UNIPROT,phosphorylation,HMGA1,protein,P17096,UNIPROT,P17096,1989-10-23
CSNK2A2,protein,P19784,UNIPROT,phosphorylation,HMGA1,protein,P17096,UNIPROT,P17096,1989-10-23
WNT5A,protein,P41221,UNIPROT,binding,FZD2,protein,Q14332,UNIPROT,Q14332,1989-10-25
PRKACA,protein,P17612,UNIPROT,phosphorylation,GP1BB,protein,P13224,UNIPROT,P13224,1989-09-15
PDGFRB,protein,P09619,UNIPROT,phosphorylation,PDGFRB,protein,P09619,UNIPROT,P09619,1989-09-22
PDGFRB,protein,P09619,UNIPROT,phosphorylation,PDGFRB,protein,P09619,UNIPROT,P09619,1989-09-22
INS,protein,P01308,UNIPROT,binding,INSR,protein,P06213,UNIPROT,P06213,1989-09-25
ELANE,protein,P08246,UNIPROT,cleavage,SERPIND1,protein,P05546,UNIPROT,P05546,1990-04-15
CTSG,protein,P08311,UNIPROT,cleavage,SERPIND1,protein,P05546,UNIPROT,P05546,1990-04-15
PRKACA,protein,P17612,UNIPROT,phosphorylation,HMGCR,protein,P04035,UNIPROT,P04035,1990-08-01
CSNK2A1,protein,P68400,UNIPROT,phosphorylation,GYS1,protein,P13807,UNIPROT,P13807,1990-08-25
PRKACA,protein,P17612,UNIPROT,phosphorylation,GYS1,protein,P13807,UNIPROT,P13807,1990-08-25
CSNK2A1,protein,P68400,UNIPROT,phosphorylation,GYS1,protein,P13807,UNIPROT,P13807,1990-08-25
CSNK2A1,protein,P68400,UNIPROT,phosphorylation,GYS1,protein,P13807,UNIPROT,P13807,1990-08-25
CSNK2A1,protein,P68400,UNIPROT,phosphorylation,GYS1,protein,P13807,UNIPROT,P13807,1990-08-25
CSNK2A1,protein,P68400,UNIPROT,phosphorylation,GYS1,protein,P13807,UNIPROT,P13807,1990-08-25
CSNK2A1,protein,P68400,UNIPROT,phosphorylation,GYS1,protein,P13807,UNIPROT,P13807,1990-08-25
PRKACA,protein,P17612,UNIPROT,phosphorylation,MIP,protein,P30301,UNIPROT,P30301,1990-12-12
L-thyroxine,smallmolecule,CHEBI:18332,ChEBI,chemical_activation,THRA,protein,P10827,UNIPROT,P10827,1990-02-01
"3,3',5'-triiodothyronine",smallmolecule,CHEBI:28774,ChEBI,chemical_activation,THRB,protein,P10828,UNIPROT,P10828,1990-02-01
"3,3',5'-triiodothyronine",smallmolecule,CHEBI:28774,ChEBI,chemical_activation,THRA,protein,P10827,UNIPROT,P10827,1990-02-01
L-thyroxine,smallmolecule,CHEBI:18332,ChEBI,chemical_activation,THRB,protein,P10828,UNIPROT,P10828,1990-02-01
PRKCA,protein,P17252,UNIPROT,phosphorylation,IL2RA,protein,P01589,UNIPROT,P01589,1990-02-25
PRKCA,protein,P17252,UNIPROT,phosphorylation,IL2RA,protein,P01589,UNIPROT,P01589,1990-02-25
ERBB2,protein,P04626,UNIPROT,phosphorylation,ERBB2,protein,P04626,UNIPROT,P04626,1990-01-01
ERBB2,protein,P04626,UNIPROT,phosphorylation,ERBB2,protein,P04626,UNIPROT,P04626,1990-01-01
