ENTITYA,TYPEA,IDA,DATABASEA,MECHANISM,ENTITYB,TYPEB,IDB,DATABASEB,IDB,data_column
E2F1,protein,Q01094,UNIPROT,transcriptional_regulation,BBC3,protein,Q96PG8,UNIPROT,Q96PG8,2007-01-30
SIRT1,protein,Q96EB6,UNIPROT,deacetylation,SMAD7,protein,O15105,UNIPROT,O15105,2007-01-05
SIRT1,protein,Q96EB6,UNIPROT,deacetylation,SMAD7,protein,O15105,UNIPROT,O15105,2007-01-05
ASPA,protein,P45381,UNIPROT,chemical_modification,L-aspartate(1-),smallmolecule,CHEBI:29991,ChEBI,CHEBI:29991,2007-01-09
HNRNPU,protein,Q00839,UNIPROT,post_transcriptional_regulation,NHLH2,protein,Q02577,UNIPROT,Q02577,2007-01-09
HNRNPU,protein,Q00839,UNIPROT,post_transcriptional_regulation,ZFY,protein,P08048,UNIPROT,P08048,2007-01-09
HNRNPU,protein,Q00839,UNIPROT,post_transcriptional_regulation,TNF,protein,P01375,UNIPROT,P01375,2007-01-09
ASPA,protein,P45381,UNIPROT,chemical_modification,N-acetyl-L-aspartate(2-),smallmolecule,CHEBI:16953,ChEBI,CHEBI:16953,2007-01-09
N-acetyl-L-aspartate(2-),smallmolecule,CHEBI:16953,ChEBI,precursor_of,acetic acid,smallmolecule,CHEBI:15366,ChEBI,CHEBI:15366,2007-01-09
HNRNPU,protein,Q00839,UNIPROT,post_transcriptional_regulation,HEXIM1,protein,O94992,UNIPROT,O94992,2007-01-09
HNRNPU,protein,Q00839,UNIPROT,post_transcriptional_regulation,HOXA2,protein,O43364,UNIPROT,O43364,2007-01-09
N-acetyl-L-aspartate(2-),smallmolecule,CHEBI:16953,ChEBI,precursor_of,L-aspartate(1-),smallmolecule,CHEBI:29991,ChEBI,CHEBI:29991,2007-01-09
HNRNPU,protein,Q00839,UNIPROT,post_transcriptional_regulation,IER3,protein,P46695,UNIPROT,P46695,2007-01-09
ASPA,protein,P45381,UNIPROT,chemical_modification,acetic acid,smallmolecule,CHEBI:15366,ChEBI,CHEBI:15366,2007-01-09
HNRNPU,protein,Q00839,UNIPROT,post_transcriptional_regulation,GADD45A,protein,P24522,UNIPROT,P24522,2007-01-09
UVRAG,protein,Q9P2Y5,UNIPROT,binding,BECN1,protein,Q14457,UNIPROT,Q14457,2007-01-01
pazopanib hydrochloride,chemical,CHEBI:71217,ChEBI,chemical_inhibition,FGFR3,protein,P22607,UNIPROT,P22607,2007-07-01
ABI1,protein,Q8IZP0,UNIPROT,binding,CBL,protein,P22681,UNIPROT,P22681,2007-07-01
KRT1,protein,P04264,UNIPROT,binding,MPO,protein,P05164,UNIPROT,P05164,2007-07-01
KIF5B,protein,P33176,UNIPROT,relocalization,JAKMIP1,protein,Q96N16,UNIPROT,Q96N16,2007-07-01
RPS6KA3,protein,P51812,UNIPROT,phosphorylation,EIF2AK2,protein,P19525,UNIPROT,P19525,2007-07-01
pazopanib hydrochloride,chemical,CHEBI:71217,ChEBI,chemical_inhibition,PDGFRA,protein,P16234,UNIPROT,P16234,2007-07-01
KIF5B,protein,P33176,UNIPROT,relocalization,GABBR1,protein,Q9UBS5,UNIPROT,Q9UBS5,2007-07-01
SLC6A4,protein,P31645,UNIPROT,relocalization,serotonin,smallmolecule,CHEBI:28790,ChEBI,CHEBI:28790,2007-07-01
CDK5,protein,Q00535,UNIPROT,phosphorylation,NR3C1,protein,P04150,UNIPROT,P04150,2007-07-01
PTPN1,protein,P18031,UNIPROT,dephosphorylation,TRPV6,protein,Q9H1D0,UNIPROT,Q9H1D0,2007-07-01
USP28,protein,Q96RU2,UNIPROT,deubiquitination,MYC,protein,P01106,UNIPROT,P01106,2007-07-01
pazopanib hydrochloride,chemical,CHEBI:71217,ChEBI,chemical_inhibition,ITK,protein,Q08881,UNIPROT,Q08881,2007-07-01
MYC,protein,P01106,UNIPROT,transcriptional_regulation,DKK1,protein,O94907,UNIPROT,O94907,2007-07-01
pazopanib hydrochloride,chemical,CHEBI:71217,ChEBI,chemical_inhibition,FGF1,protein,P05230,UNIPROT,P05230,2007-07-01
PTPN1,protein,P18031,UNIPROT,dephosphorylation,TRPV6,protein,Q9H1D0,UNIPROT,Q9H1D0,2007-07-01
PRKACA,protein,P17612,UNIPROT,phosphorylation,CAD,protein,P27708,UNIPROT,P27708,2007-07-01
pazopanib hydrochloride,chemical,CHEBI:71217,ChEBI,chemical_inhibition,PDGFRB,protein,P09619,UNIPROT,P09619,2007-07-01
PRKCI,protein,P41743,UNIPROT,phosphorylation,NUMB,protein,P49757,UNIPROT,P49757,2007-07-01
MYC,protein,P01106,UNIPROT,transcriptional_regulation,SFRP1,protein,Q8N474,UNIPROT,Q8N474,2007-07-01
NEK2,protein,P51955,UNIPROT,phosphorylation,SGO1,protein,Q5FBB7,UNIPROT,Q5FBB7,2007-07-01
RGS6,protein,P49758,UNIPROT,binding,ITGB3,protein,P05106,UNIPROT,P05106,2007-07-01
SERPINA1,protein,P01009,UNIPROT,binding,F2,protein,P00734,UNIPROT,P00734,2007-07-01
AKT2,protein,P31751,UNIPROT,phosphorylation,MYO5A,protein,Q9Y4I1,UNIPROT,Q9Y4I1,2007-07-01
pazopanib hydrochloride,chemical,CHEBI:71217,ChEBI,chemical_inhibition,SH2B3,protein,Q9UQQ2,UNIPROT,Q9UQQ2,2007-07-01
NEK2,protein,P51955,UNIPROT,phosphorylation,SGO1,protein,Q5FBB7,UNIPROT,Q5FBB7,2007-07-01
CDK5,protein,Q00535,UNIPROT,phosphorylation,NR3C1,protein,P04150,UNIPROT,P04150,2007-07-01
CDK5,protein,Q00535,UNIPROT,phosphorylation,TP53,protein,P04637,UNIPROT,P04637,2007-07-01
AKT1,protein,P31749,UNIPROT,phosphorylation,AR,protein,P10275,UNIPROT,P10275,2007-07-01
CDK5,protein,Q00535,UNIPROT,phosphorylation,TP53,protein,P04637,UNIPROT,P04637,2007-07-01
FLT3,protein,P36888,UNIPROT,phosphorylation,STAT5A,protein,P42229,UNIPROT,P42229,2007-07-01
CDK5,protein,Q00535,UNIPROT,phosphorylation,TP53,protein,P04637,UNIPROT,P04637,2007-07-01
CDK5,protein,Q00535,UNIPROT,phosphorylation,TP53,protein,P04637,UNIPROT,P04637,2007-07-01
GSK3B,protein,P49841,UNIPROT,phosphorylation,CEBPB,protein,P17676,UNIPROT,P17676,2007-07-10
CDK2,protein,P24941,UNIPROT,phosphorylation,CEBPB,protein,P17676,UNIPROT,P17676,2007-07-10
CAMK2A,protein,Q9UQM7,UNIPROT,phosphorylation,RCHY1,protein,Q96PM5,UNIPROT,Q96PM5,2007-07-11
CAMK2A,protein,Q9UQM7,UNIPROT,phosphorylation,RCHY1,protein,Q96PM5,UNIPROT,Q96PM5,2007-07-11
CAMK2B,protein,Q13554,UNIPROT,phosphorylation,STAT1,protein,P42224,UNIPROT,P42224,2007-07-13
PRKCD,protein,Q05655,UNIPROT,phosphorylation,STAT1,protein,P42224,UNIPROT,P42224,2007-07-13
IKBKE,protein,Q14164,UNIPROT,phosphorylation,STAT1,protein,P42224,UNIPROT,P42224,2007-07-13
MTOR,protein,P42345,UNIPROT,phosphorylation,AKT1S1,protein,Q96B36,UNIPROT,Q96B36,2007-07-13
MAPK14,protein,Q16539,UNIPROT,phosphorylation,STAT1,protein,P42224,UNIPROT,P42224,2007-07-13
MAPK14,protein,Q16539,UNIPROT,phosphorylation,STAT3,protein,P40763,UNIPROT,P40763,2007-07-13
MAPK14,protein,Q16539,UNIPROT,phosphorylation,STAT4,protein,Q14765,UNIPROT,Q14765,2007-07-13
CDK2,protein,P24941,UNIPROT,phosphorylation,ATRIP,protein,Q8WXE1,UNIPROT,Q8WXE1,2007-07-15
PTPN13,protein,Q12923,UNIPROT,dephosphorylation,IRS1,protein,P35568,UNIPROT,P35568,2007-07-15
CDK2,protein,P24941,UNIPROT,phosphorylation,ATRIP,protein,Q8WXE1,UNIPROT,Q8WXE1,2007-07-15
LRRK2,protein,Q5S007,UNIPROT,phosphorylation,MSN,protein,P26038,UNIPROT,P26038,2007-07-15
CDC25C,protein,P30307,UNIPROT,dephosphorylation,CDK1,protein,P06493,UNIPROT,P06493,2007-07-16
PRKAA1,protein,Q13131,UNIPROT,transcriptional_regulation,CYCS,protein,P99999,UNIPROT,P99999,2007-07-17
PRKAA1,protein,Q13131,UNIPROT,phosphorylation,PPARGC1A,protein,Q9UBK2,UNIPROT,Q9UBK2,2007-07-17
PRKAA1,protein,Q13131,UNIPROT,phosphorylation,PPARGC1A,protein,Q9UBK2,UNIPROT,Q9UBK2,2007-07-17
PPARGC1A,protein,Q9UBK2,UNIPROT,transcriptional_regulation,PPARGC1A,protein,Q9UBK2,UNIPROT,Q9UBK2,2007-07-17
PRKAA1,protein,Q13131,UNIPROT,transcriptional_regulation,UCP3,protein,P55916,UNIPROT,P55916,2007-07-17
PRKAA1,protein,Q13131,UNIPROT,transcriptional_regulation,SLC2A4,protein,P14672,UNIPROT,P14672,2007-07-17
PPARGC1A,protein,Q9UBK2,UNIPROT,transcriptional_regulation,SLC2A4,protein,P14672,UNIPROT,P14672,2007-07-17
PRKD1,protein,Q15139,UNIPROT,phosphorylation,CERT1,protein,Q9Y5P4,UNIPROT,Q9Y5P4,2007-07-02
PRKCA,protein,P17252,UNIPROT,phosphorylation,AQP1,protein,P29972,UNIPROT,P29972,2007-07-20
PRKCZ,protein,Q05513,UNIPROT,phosphorylation,BAX,protein,Q07812,UNIPROT,Q07812,2007-07-20
PTPRA,protein,P18433,UNIPROT,dephosphorylation,FYN,protein,P06241,UNIPROT,P06241,2007-07-20
FBXL5,protein,Q9UKA1,UNIPROT,binding,DCTN1,protein,Q14203,UNIPROT,Q14203,2007-07-20
PRKCA,protein,P17252,UNIPROT,phosphorylation,AQP1,protein,P29972,UNIPROT,P29972,2007-07-20
CSNK1E,protein,P49674,UNIPROT,phosphorylation,PER2,protein,O15055,UNIPROT,O15055,2007-07-20
PRKCD,protein,Q05655,UNIPROT,phosphorylation,PRKCD,protein,Q05655,UNIPROT,Q05655,2007-07-24
neratinib,chemical,CHEBI:61397,ChEBI,chemical_inhibition,EGFR,protein,P00533,UNIPROT,P00533,2007-07-26
RAD23B,protein,P54727,UNIPROT,binding,PAX3,protein,P23760,UNIPROT,P23760,2007-07-27
RAF1,protein,P04049,UNIPROT,phosphorylation,BAD,protein,Q92934,UNIPROT,Q92934,2007-07-27
FGFR2,protein,P21802,UNIPROT,transcriptional_regulation,PPARG,protein,P37231,UNIPROT,P37231,2007-07-27
AKT1,protein,P31749,UNIPROT,phosphorylation,SH3RF1,protein,Q7Z6J0,UNIPROT,Q7Z6J0,2007-07-27
AKT2,protein,P31751,UNIPROT,phosphorylation,SH3RF1,protein,Q7Z6J0,UNIPROT,Q7Z6J0,2007-07-27
CDK5,protein,Q00535,UNIPROT,phosphorylation,HTT,protein,P42858,UNIPROT,P42858,2007-07-04
CDK5,protein,Q00535,UNIPROT,phosphorylation,HTT,protein,P42858,UNIPROT,P42858,2007-07-04
PAK1,protein,Q13153,UNIPROT,phosphorylation,ELF3,protein,P78545,UNIPROT,P78545,2007-07-06
CDK1,protein,P06493,UNIPROT,phosphorylation,SIRT2,protein,Q8IXJ6,UNIPROT,Q8IXJ6,2007-07-06
MAPK1,protein,P28482,UNIPROT,phosphorylation,RORA,protein,P35398,UNIPROT,P35398,2007-07-06
MTOR,protein,P42345,UNIPROT,phosphorylation,EIF4EBP1,protein,Q13541,UNIPROT,Q13541,2007-07-06
MTOR,protein,P42345,UNIPROT,phosphorylation,EIF4EBP1,protein,Q13541,UNIPROT,Q13541,2007-07-06
MTOR,protein,P42345,UNIPROT,phosphorylation,RPS6KB1,protein,P23443,UNIPROT,P23443,2007-07-06
CDC14A,protein,Q9UNH5,UNIPROT,dephosphorylation,SIRT2,protein,Q8IXJ6,UNIPROT,Q8IXJ6,2007-07-06
MTOR,protein,P42345,UNIPROT,phosphorylation,RPS6KB2,protein,Q9UBS0,UNIPROT,Q9UBS0,2007-07-06
CDC14B,protein,O60729,UNIPROT,dephosphorylation,SIRT2,protein,Q8IXJ6,UNIPROT,Q8IXJ6,2007-07-06
CSNK2A1,protein,P68400,UNIPROT,phosphorylation,SLC29A1,protein,Q99808,UNIPROT,Q99808,2007-07-01
AXIN1,protein,O15169,UNIPROT,binding,AXIN1,protein,O15169,UNIPROT,O15169,2007-06-01
TTK,protein,P33981,UNIPROT,phosphorylation,HSPA9,protein,P38646,UNIPROT,P38646,2007-06-01
7a,protein,P59635,UNIPROT,binding,BCL2L1,protein,Q07817,UNIPROT,Q07817,2007-06-01
KLHL13,protein,Q9P2N7,UNIPROT,binding,AURKB,protein,Q96GD4,UNIPROT,Q96GD4,2007-06-01
TNFSF12,protein,O43508,UNIPROT,polyubiquitination,MYH3,protein,P11055,UNIPROT,P11055,2007-06-01
GPC3,protein,P51654,UNIPROT,binding,DPP4,protein,P27487,UNIPROT,P27487,2007-06-01
TUBB,protein,P07437,UNIPROT,binding,SMAD2,protein,Q15796,UNIPROT,Q15796,2007-06-01
DVL2,protein,O14641,UNIPROT,binding,DVL2,protein,O14641,UNIPROT,O14641,2007-06-01
NPAS1,protein,Q99742,UNIPROT,transcriptional_regulation,TH,protein,P07101,UNIPROT,P07101,2007-06-01
KLHL9,protein,Q9P2J3,UNIPROT,binding,AURKB,protein,Q96GD4,UNIPROT,Q96GD4,2007-06-01
ARNT,protein,P27540,UNIPROT,transcriptional_regulation,TH,protein,P07101,UNIPROT,P07101,2007-06-01
PRKACA,protein,P17612,UNIPROT,phosphorylation,IRS1,protein,P35568,UNIPROT,P35568,2007-06-01
PRKACA,protein,P17612,UNIPROT,phosphorylation,IRS1,protein,P35568,UNIPROT,P35568,2007-06-01
bisphenol A,chemical,CHEBI:33216,ChEBI,chemical_inhibition,TPO,protein,P07202,UNIPROT,P07202,2007-06-01
phosphatidic acid,smallmolecule,CHEBI:16337,ChEBI,chemical_activation,SOS1,protein,Q07889,UNIPROT,Q07889,2007-06-01
MAP2K7,protein,O14733,UNIPROT,phosphorylation,IRS1,protein,P35568,UNIPROT,P35568,2007-06-01
TTK,protein,P33981,UNIPROT,phosphorylation,HSPA9,protein,P38646,UNIPROT,P38646,2007-06-01
TUBB,protein,P07437,UNIPROT,binding,SMAD3,protein,P84022,UNIPROT,P84022,2007-06-01
DVL2,protein,O14641,UNIPROT,binding,AXIN1,protein,O15169,UNIPROT,O15169,2007-06-01
TUBB,protein,P07437,UNIPROT,binding,SMAD2,protein,Q15796,UNIPROT,Q15796,2007-06-01
PRKCZ,protein,Q05513,UNIPROT,phosphorylation,IRS1,protein,P35568,UNIPROT,P35568,2007-06-01
PDLIM2,protein,Q96JY6,UNIPROT,polyubiquitination,RELA,protein,Q04206,UNIPROT,Q04206,2007-06-01
PRKACA,protein,P17612,UNIPROT,phosphorylation,IRS1,protein,P35568,UNIPROT,P35568,2007-06-01
TUBB,protein,P07437,UNIPROT,binding,SMAD3,protein,P84022,UNIPROT,P84022,2007-06-01
STAT1,protein,P42224,UNIPROT,transcriptional_regulation,MMP13,protein,P45452,UNIPROT,P45452,2007-06-01
BRCA2,protein,P51587,UNIPROT,binding,RAD51,protein,Q06609,UNIPROT,Q06609,2007-06-01
PRPF4B,protein,Q13523,UNIPROT,phosphorylation,KLF13,protein,Q9Y2Y9,UNIPROT,Q9Y2Y9,2007-06-01
HOXA9,protein,P31269,UNIPROT,transcriptional_regulation,PIM1,protein,P11309,UNIPROT,P11309,2007-06-01
EP300,protein,Q09472,UNIPROT,acetylation,MAML1,protein,Q92585,UNIPROT,Q92585,2007-06-01
AURKA,protein,O14965,UNIPROT,phosphorylation,TACC3,protein,Q9Y6A5,UNIPROT,Q9Y6A5,2007-06-01
MAML1,protein,Q92585,UNIPROT,acetylation,H3C1,protein,P68431,UNIPROT,P68431,2007-06-01
PPP2CB,protein,P62714,UNIPROT,dephosphorylation,RALA,protein,P11233,UNIPROT,P11233,2007-06-01
GSK3B,protein,P49841,UNIPROT,phosphorylation,ATXN3,protein,P54252,UNIPROT,P54252,2007-06-01
MAML1,protein,Q92585,UNIPROT,acetylation,H4C1,protein,P62805,UNIPROT,P62805,2007-06-01
NFKB1,protein,P19838,UNIPROT,transcriptional_regulation,THBD,protein,P07204,UNIPROT,P07204,2007-06-01
PPP2CB,protein,P62714,UNIPROT,dephosphorylation,RALA,protein,P11233,UNIPROT,P11233,2007-06-01
CDK2,protein,P24941,UNIPROT,phosphorylation,ZC3HC1,protein,Q86WB0,UNIPROT,Q86WB0,2007-06-01
KLF1,protein,Q13351,UNIPROT,transcriptional_regulation,CDKN2C,protein,P42773,UNIPROT,P42773,2007-06-01
CDK1,protein,P06493,UNIPROT,phosphorylation,ZC3HC1,protein,Q86WB0,UNIPROT,Q86WB0,2007-06-01
EBNA1,protein,P03211,UNIPROT,transcriptional_regulation,STAT1,protein,P42224,UNIPROT,P42224,2007-06-14
EBNA1,protein,P03211,UNIPROT,destabilization,SMAD2,protein,Q15796,UNIPROT,Q15796,2007-06-14
PTPN1,protein,P18031,UNIPROT,dephosphorylation,ROS1,protein,P08922,UNIPROT,P08922,2007-06-15
HIF1A,protein,Q16665,UNIPROT,transcriptional_regulation,IL1B,protein,P01584,UNIPROT,P01584,2007-06-15
SNAI2,protein,O43623,UNIPROT,transcriptional_regulation,HPGD,protein,P15428,UNIPROT,P15428,2007-06-15
GSK3A,protein,P49840,UNIPROT,phosphorylation,NCOA3,protein,Q9Y6Q9,UNIPROT,Q9Y6Q9,2007-06-15
PTPN1,protein,P18031,UNIPROT,dephosphorylation,ROS1,protein,P08922,UNIPROT,P08922,2007-06-15
DVL1,protein,O14640,UNIPROT,binding,LRP6,protein,O75581,UNIPROT,O75581,2007-06-15
PRKCA,protein,P17252,UNIPROT,phosphorylation,CTPS1,protein,P17812,UNIPROT,P17812,2007-06-15
SYP,protein,P08247,UNIPROT,binding,VAMP2,protein,P63027,UNIPROT,P63027,2007-06-15
PRKCA,protein,P17252,UNIPROT,phosphorylation,CTPS1,protein,P17812,UNIPROT,P17812,2007-06-15
PTPN1,protein,P18031,UNIPROT,dephosphorylation,ROS1,protein,P08922,UNIPROT,P08922,2007-06-15
MECOM,protein,Q03112,UNIPROT,binding,RUNX1,protein,Q01196,UNIPROT,Q01196,2007-06-15
PDZRN3,protein,Q9UPQ7,UNIPROT,ubiquitination,MUSK,protein,O15146,UNIPROT,O15146,2007-06-18
UBE2D2,protein,P62837,UNIPROT,binding,PDZRN3,protein,Q9UPQ7,UNIPROT,Q9UPQ7,2007-06-18
AKT2,protein,P31751,UNIPROT,phosphorylation,PPARGC1A,protein,Q9UBK2,UNIPROT,Q9UBK2,2007-06-21
AKT2,protein,P31751,UNIPROT,phosphorylation,PPARGC1A,protein,Q9UBK2,UNIPROT,Q9UBK2,2007-06-21
AKT1,protein,P31749,UNIPROT,phosphorylation,PPARGC1A,protein,Q9UBK2,UNIPROT,Q9UBK2,2007-06-21
malonyl-CoA,smallmolecule,CHEBI:15531,ChEBI,binding,CPT1A,protein,P50416,UNIPROT,P50416,2007-06-22
AMBRA1,protein,Q9C0C7,UNIPROT,binding,BECN1,protein,Q14457,UNIPROT,Q14457,2007-06-28
ATM,protein,Q13315,UNIPROT,phosphorylation,RAD50,protein,Q92878,UNIPROT,Q92878,2007-06-29
PIAS1,protein,O75925,UNIPROT,sumoylation,FHL1,protein,Q13642,UNIPROT,Q13642,2007-06-29
PIAS1,protein,O75925,UNIPROT,sumoylation,FHL1,protein,Q13642,UNIPROT,Q13642,2007-06-29
CHFR,protein,Q96EP1,UNIPROT,ubiquitination,CHFR,protein,Q96EP1,UNIPROT,Q96EP1,2007-06-08
USP7,protein,Q93009,UNIPROT,deubiquitination,CHFR,protein,Q96EP1,UNIPROT,Q96EP1,2007-06-08
CHFR,protein,Q96EP1,UNIPROT,polyubiquitination,PLK1,protein,P53350,UNIPROT,P53350,2007-06-08
CHFR,protein,Q96EP1,UNIPROT,polyubiquitination,AURKA,protein,O14965,UNIPROT,O14965,2007-06-08
ARNT,protein,P27540,UNIPROT,transcriptional_regulation,CYP1A1,protein,P04798,UNIPROT,P04798,2007-03-01
CAPRIN1,protein,Q14444,UNIPROT,binding,G3BP1,protein,Q13283,UNIPROT,Q13283,2007-03-01
COL1A1,protein,P02452,UNIPROT,binding,DDR1,protein,Q08345,UNIPROT,Q08345,2007-03-01
CYP17A1,protein,P05093,UNIPROT,chemical_modification,"androst-4-ene-3,17-dione",smallmolecule,CHEBI:16422,ChEBI,CHEBI:16422,2007-03-01
CDK1,protein,P06493,UNIPROT,phosphorylation,MPLKIP,protein,Q8TAP9,UNIPROT,Q8TAP9,2007-03-01
BTF3,protein,P20290,UNIPROT,transcriptional_regulation,ATM,protein,Q13315,UNIPROT,Q13315,2007-03-01
MAPK1,protein,P28482,UNIPROT,phosphorylation,IRS1,protein,P35568,UNIPROT,P35568,2007-03-01
BTF3,protein,P20290,UNIPROT,transcriptional_regulation,ABL2,protein,P42684,UNIPROT,P42684,2007-03-01
17alpha-hydroxyprogesterone,smallmolecule,CHEBI:17252,ChEBI,precursor_of,"androst-4-ene-3,17-dione",smallmolecule,CHEBI:16422,ChEBI,CHEBI:16422,2007-03-01
COL21A1,protein,Q96P44,UNIPROT,binding,DDR1,protein,Q08345,UNIPROT,Q08345,2007-03-01
AHR,protein,P35869,UNIPROT,transcriptional_regulation,CYP1B1,protein,Q16678,UNIPROT,Q16678,2007-03-01
CDK1,protein,P06493,UNIPROT,phosphorylation,MPLKIP,protein,Q8TAP9,UNIPROT,Q8TAP9,2007-03-01
BTF3,protein,P20290,UNIPROT,transcriptional_regulation,NFKB1,protein,P19838,UNIPROT,P19838,2007-03-01
CYP17A1,protein,P05093,UNIPROT,chemical_modification,progesterone,smallmolecule,CHEBI:17026,ChEBI,CHEBI:17026,2007-03-01
COL1A1,protein,P02452,UNIPROT,binding,DDR2,protein,Q16832,UNIPROT,Q16832,2007-03-01
RNF111,protein,Q6ZNA4,UNIPROT,ubiquitination,SMAD2,protein,Q15796,UNIPROT,Q15796,2007-03-01
BTF3,protein,P20290,UNIPROT,transcriptional_regulation,IRAG1,protein,Q9Y6F6,UNIPROT,Q9Y6F6,2007-03-01
AHR,protein,P35869,UNIPROT,transcriptional_regulation,CYP1A1,protein,P04798,UNIPROT,P04798,2007-03-01
CYP17A1,protein,P05093,UNIPROT,chemical_modification,dehydroepiandrosterone,chemical,CHEBI:28689,ChEBI,CHEBI:28689,2007-03-01
MMP1,protein,P03956,UNIPROT,cleavage,COL1A2,protein,P08123,UNIPROT,P08123,2007-03-01
CYP17A1,protein,P05093,UNIPROT,chemical_modification,17alpha-hydroxypregnenolone,smallmolecule,CHEBI:28750,ChEBI,CHEBI:28750,2007-03-01
MMP1,protein,P03956,UNIPROT,cleavage,COL3A1,protein,P02461,UNIPROT,P02461,2007-03-01
DACT2,protein,Q5SW24,UNIPROT,binding,TGFBR1,protein,P36897,UNIPROT,P36897,2007-03-01
GSK3A,protein,P49840,UNIPROT,phosphorylation,ANKRD28,protein,O15084,UNIPROT,O15084,2007-03-01
RNF111,protein,Q6ZNA4,UNIPROT,ubiquitination,SMAD3,protein,P84022,UNIPROT,P84022,2007-03-01
CYP17A1,protein,P05093,UNIPROT,chemical_modification,17alpha-hydroxyprogesterone,smallmolecule,CHEBI:17252,ChEBI,CHEBI:17252,2007-03-01
ZBED1,protein,O96006,UNIPROT,transcriptional_regulation,RPS12,protein,P25398,UNIPROT,P25398,2007-03-01
TFAP2A,protein,P05549,UNIPROT,transcriptional_regulation,ECM1,protein,Q16610,UNIPROT,Q16610,2007-03-01
MBTPS1,protein,Q14703,UNIPROT,cleavage,CREB3L2,protein,Q70SY1,UNIPROT,Q70SY1,2007-03-01
TFAP2A,protein,P05549,UNIPROT,transcriptional_regulation,CRABP2,protein,P29373,UNIPROT,P29373,2007-03-01
AURKB,protein,Q96GD4,UNIPROT,phosphorylation,NSUN2,protein,Q08J23,UNIPROT,Q08J23,2007-03-01
CSNK2A1,protein,P68400,UNIPROT,phosphorylation,VDR,protein,P11473,UNIPROT,P11473,2007-03-01
ZBED1,protein,O96006,UNIPROT,transcriptional_regulation,RPS10,protein,P46783,UNIPROT,P46783,2007-03-01
17alpha-hydroxypregnenolone,smallmolecule,CHEBI:28750,ChEBI,precursor_of,dehydroepiandrosterone,chemical,CHEBI:28689,ChEBI,CHEBI:28689,2007-03-01
BTF3,protein,P20290,UNIPROT,transcriptional_regulation,SSPN,protein,Q14714,UNIPROT,Q14714,2007-03-01
CYP17A1,protein,P05093,UNIPROT,chemical_modification,pregnenolone,smallmolecule,CHEBI:16581,ChEBI,CHEBI:16581,2007-03-01
CYP17A1,protein,P05093,UNIPROT,chemical_modification,17alpha-hydroxyprogesterone,smallmolecule,CHEBI:17252,ChEBI,CHEBI:17252,2007-03-01
BTF3,protein,P20290,UNIPROT,transcriptional_regulation,RRAS2,protein,P62070,UNIPROT,P62070,2007-03-01
TFAP2C,protein,Q92754,UNIPROT,transcriptional_regulation,SULT1E1,protein,P49888,UNIPROT,P49888,2007-03-01
CYP17A1,protein,P05093,UNIPROT,chemical_modification,17alpha-hydroxypregnenolone,smallmolecule,CHEBI:28750,ChEBI,CHEBI:28750,2007-03-01
progesterone,smallmolecule,CHEBI:17026,ChEBI,precursor_of,17alpha-hydroxyprogesterone,smallmolecule,CHEBI:17252,ChEBI,CHEBI:17252,2007-03-01
TFAP2A,protein,P05549,UNIPROT,transcriptional_regulation,SULT1E1,protein,P49888,UNIPROT,P49888,2007-03-01
JAK2,protein,O60674,UNIPROT,phosphorylation,JAK2,protein,O60674,UNIPROT,O60674,2007-03-01
BTF3,protein,P20290,UNIPROT,transcriptional_regulation,HPSE2,protein,Q8WWQ2,UNIPROT,Q8WWQ2,2007-03-01
NFATC3,protein,Q12968,UNIPROT,transcriptional_regulation,IL6,protein,P05231,UNIPROT,P05231,2007-03-01
BTF3,protein,P20290,UNIPROT,transcriptional_regulation,EPHB2,protein,P29323,UNIPROT,P29323,2007-03-01
NFATC1,protein,O95644,UNIPROT,transcriptional_regulation,IL6,protein,P05231,UNIPROT,P05231,2007-03-01
RNF111,protein,Q6ZNA4,UNIPROT,ubiquitination,SMAD2,protein,Q15796,UNIPROT,Q15796,2007-03-01
AKT2,protein,P31751,UNIPROT,phosphorylation,AKT1S1,protein,Q96B36,UNIPROT,Q96B36,2007-03-01
CAMK2D,protein,Q13557,UNIPROT,phosphorylation,ANKRD28,protein,O15084,UNIPROT,O15084,2007-03-01
ZBED1,protein,O96006,UNIPROT,transcriptional_regulation,RPS6,protein,P62753,UNIPROT,P62753,2007-03-01
CDK1,protein,P06493,UNIPROT,phosphorylation,MPLKIP,protein,Q8TAP9,UNIPROT,Q8TAP9,2007-03-01
TFAP2C,protein,Q92754,UNIPROT,transcriptional_regulation,ECM1,protein,Q16610,UNIPROT,Q16610,2007-03-01
pregnenolone,smallmolecule,CHEBI:16581,ChEBI,precursor_of,17alpha-hydroxypregnenolone,smallmolecule,CHEBI:28750,ChEBI,CHEBI:28750,2007-03-01
COL21A1,protein,Q96P44,UNIPROT,binding,DDR2,protein,Q16832,UNIPROT,Q16832,2007-03-01
MMP1,protein,P03956,UNIPROT,cleavage,COL1A1,protein,P02452,UNIPROT,P02452,2007-03-01
ANKRD28,protein,O15084,UNIPROT,binding,PPP1CC,protein,P36873,UNIPROT,P36873,2007-03-01
TFAP2C,protein,Q92754,UNIPROT,transcriptional_regulation,CRABP2,protein,P29373,UNIPROT,P29373,2007-03-01
NFATC2,protein,Q13469,UNIPROT,transcriptional_regulation,IL6,protein,P05231,UNIPROT,P05231,2007-03-01
